"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set1","correct","wood","group2","e",1181,"1_9",410,"session1_learning","21x21"
"set2","correct","wood","group1","i",799,"5_-5",120,"session1_learning","21x21"
"set2","correct","wood","group1","i",785,"7_-7",80,"session1_learning","21x21"
"set1","correct","wood","group2","e",644,"-7_5",318,"session1_learning","21x21"
"set1","correct","wood","group2","e",759,"-3_7",364,"session1_learning","21x21"
"set1","correct","wood","group2","e",942,"-7_3",276,"session1_learning","21x21"
"set1","correct","wood","group2","e",1007,"5_1",246,"session1_learning","21x21"
"set2","correct","wood","group1","i",674,"-3_-3",154,"session1_learning","21x21"
"set1","correct","wood","group2","e",600,"-1_9",408,"session1_learning","21x21"
"set1","correct","wood","group2","e",971,"1_1",242,"session1_learning","21x21"
"set2","correct","wood","group1","i",689,"-9_-3",148,"session1_learning","21x21"
"set1","correct","wood","group2","e",780,"7_3",290,"session1_learning","21x21"
"set2","correct","wood","group1","i",641,"1_-7",74,"session1_learning","21x21"
"set2","correct","wood","group1","i",674,"9_-1",208,"session1_learning","21x21"
"set1","correct","wood","group2","e",576,"-1_7",366,"session1_learning","21x21"
"set2","correct","wood","group1","i",590,"-5_-1",194,"session1_learning","21x21"
"set2","correct","wood","group1","i",862,"7_-3",164,"session1_learning","21x21"
"set1","correct","wood","group2","e",742,"-5_3",278,"session1_learning","21x21"
"set2","correct","wood","group1","i",601,"7_-5",122,"session1_learning","21x21"
"set1","correct","wood","group2","e",862,"3_5",328,"session1_learning","21x21"
"set1","correct","wood","group2","e",886,"-7_1",234,"session1_learning","21x21"
"set2","correct","wood","group1","i",555,"-3_-7",70,"session1_learning","21x21"
"set2","correct","wood","group1","i",607,"-7_-5",108,"session1_learning","21x21"
"set1","correct","wood","group2","e",695,"-5_5",320,"session1_learning","21x21"
"set1","correct","wood","group2","e",819,"3_1",244,"session1_learning","21x21"
"set1","correct","wood","group2","e",692,"-1_1",240,"session1_learning","21x21"
"set2","correct","wood","group1","i",738,"3_-9",34,"session1_learning","21x21"
"set2","correct","wood","group1","i",769,"5_-3",162,"session1_learning","21x21"
"set2","correct","wood","group1","i",516,"-1_-3",156,"session1_learning","21x21"
"set1","correct","wood","group2","e",543,"3_7",370,"session1_learning","21x21"
"set2","correct","wood","group1","i",493,"5_-1",204,"session1_learning","21x21"
"set2","wrong","wood","group1","e",680,"-1_-1",198,"session1_learning","21x21"
"set2","correct","wood","group1","i",677,"1_-3",158,"session1_learning","21x21"
"set1","correct","wood","group2","e",645,"9_3",292,"session1_learning","21x21"
"set1","correct","wood","group2","e",506,"7_7",374,"session1_learning","21x21"
"set2","correct","wood","group1","i",569,"-7_-7",66,"session1_learning","21x21"
"set2","correct","wood","group1","i",716,"7_-1",206,"session1_learning","21x21"
"set1","correct","wood","group2","e",728,"9_1",250,"session1_learning","21x21"
"set1","correct","wood","group2","e",616,"-1_3",282,"session1_learning","21x21"
"set2","correct","wood","group1","i",505,"-7_-3",150,"session1_learning","21x21"
"set2","correct","wood","group1","i",657,"9_-3",166,"session1_learning","21x21"
"set1","correct","wood","group2","e",517,"-1_5",324,"session1_learning","21x21"
"set1","correct","wood","group2","e",492,"7_5",332,"session1_learning","21x21"
"set2","correct","wood","group1","i",1159,"1_-5",116,"session1_learning","21x21"
"set2","correct","wood","group1","i",595,"1_-9",32,"session1_learning","21x21"
"set1","correct","wood","group2","e",614,"-7_7",360,"session1_learning","21x21"
"set2","correct","wood","group1","i",747,"-3_-9",28,"session1_learning","21x21"
"set1","correct","wood","group2","e",650,"-3_1",238,"session1_learning","21x21"
"set1","correct","wood","group2","e",600,"3_9",412,"session1_learning","21x21"
"set1","correct","wood","group2","e",446,"5_5",330,"session1_learning","21x21"
"set2","correct","wood","group1","i",778,"3_-7",76,"session1_learning","21x21"
"set2","correct","wood","group1","i",659,"-7_-1",192,"session1_learning","21x21"
"set2","correct","wood","group1","i",559,"3_-5",118,"session1_learning","21x21"
"set1","correct","wood","group2","e",687,"-9_1",232,"session1_learning","21x21"
"set1","correct","wood","group2","e",578,"-3_9",406,"session1_learning","21x21"
"set1","correct","wood","group2","e",824,"1_3",284,"session1_learning","21x21"
"set1","correct","wood","group2","e",703,"1_5",326,"session1_learning","21x21"
"set2","correct","wood","group1","i",500,"-1_-9",30,"session1_learning","21x21"
"set2","correct","wood","group1","i",507,"-1_-5",114,"session1_learning","21x21"
"set1","correct","wood","group2","e",474,"5_7",372,"session1_learning","21x21"
"set1","correct","wood","group2","e",481,"5_3",288,"session1_learning","21x21"
"set1","correct","wood","group2","e",397,"3_3",286,"session1_learning","21x21"
"set2","correct","wood","group1","i",468,"-5_-7",68,"session1_learning","21x21"
"set2","correct","wood","group1","i",562,"3_-1",202,"session1_learning","21x21"
"set2","wrong","wood","group1","e",593,"-5_-5",110,"session1_learning","21x21"
"set2","correct","wood","group1","i",633,"5_-7",78,"session1_learning","21x21"
"set2","correct","wood","group1","i",550,"-1_-7",72,"session1_learning","21x21"
"set2","correct","wood","group1","i",484,"1_-1",200,"session1_learning","21x21"
"set2","correct","wood","group1","i",604,"-5_-3",152,"session1_learning","21x21"
"set1","correct","wood","group2","e",756,"-3_3",280,"session1_learning","21x21"
"set2","correct","wood","group1","i",454,"-9_-1",190,"session1_learning","21x21"
"set1","correct","wood","group2","e",870,"7_1",248,"session1_learning","21x21"
"set2","correct","wood","group1","i",591,"-3_-5",112,"session1_learning","21x21"
