"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"116","6_-2","wood","set1","group1","000147","11_8",3725.70000004768,0,"session3_transfer_reconstruction","17x17"
"216","4_4","wood","set2","group2","000215","11_12",1839,0,"session3_transfer_reconstruction","17x17"
"142","-2_0","wood",NA,"boundary","000142","6_8",3271.20000004768,0,"session3_transfer_reconstruction","17x17"
"72","-4_-4","wood","set1","group1","000089","4_5",6612,0,"session3_transfer_reconstruction","17x17"
"108","-2_-2","wood","set1","group1","000091","6_5",2297.10000002384,0,"session3_transfer_reconstruction","17x17"
"180","2_2","wood","set2","group2","000163","10_9",4169.19999992847,0,"session3_transfer_reconstruction","17x17"
"178","0_2","wood","set2","group2","000179","9_10",3568.19999992847,0,"session3_transfer_reconstruction","17x17"
"114","4_-2","wood","set1","group1","000132","13_7",2998.89999997616,0,"session3_transfer_reconstruction","17x17"
"44","2_-6","wood","set1","group1","000062","11_3",2620.39999997616,0,"session3_transfer_reconstruction","17x17"
"78","2_-4","wood","set1","group1","000079","11_4",2447.30000007153,0,"session3_transfer_reconstruction","17x17"
"138","-6_0","wood",NA,"boundary","000138","2_8",1685.10000002384,0,"session3_transfer_reconstruction","17x17"
"110","0_-2","wood","set1","group1","000076","8_4",7496.5,0,"session3_transfer_reconstruction","17x17"
"42","0_-6","wood","set1","group1","000042","8_2",3334.10000002384,0,"session3_transfer_reconstruction","17x17"
"174","-4_2","wood","set2","group2","000174","4_10",6590.89999997616,0,"session3_transfer_reconstruction","17x17"
"144","0_0","wood",NA,"boundary","000127","8_7",7151.30000007153,0,"session3_transfer_reconstruction","17x17"
"146","2_0","wood",NA,"boundary","000162","9_9",3511.10000002384,0,"session3_transfer_reconstruction","17x17"
"212","0_4","wood","set2","group2","000129","10_7",3015.20000004768,0,"session3_transfer_reconstruction","17x17"
"246","0_6","wood","set2","group2","000248","10_14",3346.30000007153,0,"session3_transfer_reconstruction","17x17"
"80","4_-4","wood","set1","group1","000064","13_3",2649.39999997616,0,"session3_transfer_reconstruction","17x17"
"76","0_-4","wood","set1","group1","000077","9_4",3574.30000007153,0,"session3_transfer_reconstruction","17x17"
"40","-2_-6","wood","set1","group1","000040","6_2",3309.10000002384,0,"session3_transfer_reconstruction","17x17"
"214","2_4","wood","set2","group2","000231","10_13",4873.39999997616,0,"session3_transfer_reconstruction","17x17"
"176","-2_2","wood","set2","group2","000193","6_11",5058.5,0,"session3_transfer_reconstruction","17x17"
"210","-2_4","wood","set2","group2","000176","6_10",1449.89999997616,0,"session3_transfer_reconstruction","17x17"
"104","-6_-2","wood","set1","group1","000121","2_7",4451.39999997616,0,"session3_transfer_reconstruction","17x17"
"244","-2_6","wood","set2","group2","000193","6_11",7123.10000002384,0,"session3_transfer_reconstruction","17x17"
"74","-2_-4","wood","set1","group1","000074","6_4",2790,0,"session3_transfer_reconstruction","17x17"
"182","4_2","wood","set2","group2","000183","13_10",5489.10000002384,0,"session3_transfer_reconstruction","17x17"
"106","-4_-2","wood","set1","group1","000072","4_4",4607.60000002384,0,"session3_transfer_reconstruction","17x17"
"184","6_2","wood","set2","group2","000167","14_9",3057,0,"session3_transfer_reconstruction","17x17"
"150","6_0","wood",NA,"boundary","000167","14_9",1583.39999997616,0,"session3_transfer_reconstruction","17x17"
"140","-4_0","wood",NA,"boundary","000157","4_9",2462.5,0,"session3_transfer_reconstruction","17x17"
"172","-6_2","wood","set2","group2","000155","2_9",2012.70000004768,0,"session3_transfer_reconstruction","17x17"
"112","2_-2","wood","set1","group1","000133","14_7",3231.60000002384,0,"session3_transfer_reconstruction","17x17"
"208","-4_4","wood","set2","group2","000208","4_12",5867.29999995232,0,"session3_transfer_reconstruction","17x17"
"148","4_0","wood",NA,"boundary","000148","12_8",3747.80000007153,0,"session3_transfer_reconstruction","17x17"
"248","2_6","wood","set2","group2","000214","10_12",3264.5,0,"session3_transfer_reconstruction","17x17"
