"answer","answer_coord","key_feature","label","position","response","response_coord","search_rt","space_rotation","session","space_size"
"178","0_-2","wood","set2","group1","000179","11_8",6434.80000007153,0,"session3_transfer_reconstruction","21x21"
"134","-2_-4","wood","set2","group1","000071","8_3",5576,0,"session3_transfer_reconstruction","21x21"
"308","4_4","wood","set1","group2","000286","13_13",3356.29999995232,0,"session3_transfer_reconstruction","21x21"
"390","2_8","wood","set1","group2","000371","14_17",2800.5,0,"session3_transfer_reconstruction","21x21"
"98","4_-6","wood","set2","group1","000181","13_8",9494.60000002384,0,"session3_transfer_reconstruction","21x21"
"302","-2_4","wood","set1","group2","000302","8_14",8409.5,0,"session3_transfer_reconstruction","21x21"
"346","0_6","wood","set1","group2","000324","9_15",8677,0,"session3_transfer_reconstruction","21x21"
"174","-4_-2","wood","set2","group1","000153","6_7",8171.79999995232,0,"session3_transfer_reconstruction","21x21"
"140","4_-4","wood","set2","group1","000118","13_5",9446.5,0,"session3_transfer_reconstruction","21x21"
"268","6_2","wood","set1","group2","000265","13_12",4906.70000004768,0,"session3_transfer_reconstruction","21x21"
"306","2_4","wood","set1","group2","000328","13_15",3944.39999997616,0,"session3_transfer_reconstruction","21x21"
"226","6_0","wood",NA,"boundary","000245","14_11",3977.29999995232,0,"session3_transfer_reconstruction","21x21"
"184","6_-2","wood","set2","group1","000185","17_8",2623.19999992847,0,"session3_transfer_reconstruction","21x21"
"222","2_0","wood",NA,"boundary","000221","11_10",5065.89999997616,0,"session3_transfer_reconstruction","21x21"
"258","-4_2","wood","set1","group2","000300","6_14",8492.5,0,"session3_transfer_reconstruction","21x21"
"350","4_6","wood","set1","group2","000328","13_15",3490.39999997616,0,"session3_transfer_reconstruction","21x21"
"214","-6_0","wood",NA,"boundary","000235","4_11",4579.60000002384,0,"session3_transfer_reconstruction","21x21"
"50","-2_-8","wood","set2","group1","000113","8_5",6646.20000004768,0,"session3_transfer_reconstruction","21x21"
"384","-4_8","wood","set1","group2","000386","8_18",12221.6000000238,0,"session3_transfer_reconstruction","21x21"
"296","-8_4","wood","set1","group2","000340","4_16",3924.5,0,"session3_transfer_reconstruction","21x21"
"176","-2_-2","wood","set2","group1","000155","8_7",9447.39999997616,0,"session3_transfer_reconstruction","21x21"
"388","0_8","wood","set1","group2","000388","10_18",4438.69999992847,0,"session3_transfer_reconstruction","21x21"
"94","0_-6","wood","set2","group1","000114","9_5",8982.60000002384,0,"session3_transfer_reconstruction","21x21"
"216","-4_0","wood",NA,"boundary","000216","6_10",7294.5,0,"session3_transfer_reconstruction","21x21"
"304","0_4","wood","set1","group2","000305","11_14",4431.10000002384,0,"session3_transfer_reconstruction","21x21"
"218","-2_0","wood",NA,"boundary","000176","8_8",3763.19999992847,0,"session3_transfer_reconstruction","21x21"
"298","-6_4","wood","set1","group2","000298","4_14",3608.29999995232,0,"session3_transfer_reconstruction","21x21"
"136","0_-4","wood","set2","group1","000199","10_9",6366.90000009537,0,"session3_transfer_reconstruction","21x21"
"340","-6_6","wood","set1","group2","000319","4_15",7701.5,0,"session3_transfer_reconstruction","21x21"
"300","-4_4","wood","set1","group2","000363","6_17",6490.19999992847,0,"session3_transfer_reconstruction","21x21"
"52","0_-8","wood","set2","group1","000115","10_5",17651.5,0,"session3_transfer_reconstruction","21x21"
"392","4_8","wood","set1","group2","000346","10_16",5051.29999995232,0,"session3_transfer_reconstruction","21x21"
"344","-2_6","wood","set1","group2","000344","8_16",3891.5,0,"session3_transfer_reconstruction","21x21"
"266","4_2","wood","set1","group2","000287","14_13",4767.69999992847,0,"session3_transfer_reconstruction","21x21"
"264","2_2","wood","set1","group2","000266","14_12",2824.10000002384,0,"session3_transfer_reconstruction","21x21"
"90","-4_-6","wood","set2","group1","000089","5_4",9735.60000002384,0,"session3_transfer_reconstruction","21x21"
"96","2_-6","wood","set2","group1","000011","11_0",6473.39999997616,0,"session3_transfer_reconstruction","21x21"
"312","8_4","wood","set1","group2","000351","15_16",5250.60000002384,0,"session3_transfer_reconstruction","21x21"
"220","0_0","wood",NA,"boundary","000263","11_12",2755.39999997616,0,"session3_transfer_reconstruction","21x21"
"310","6_4","wood","set1","group2","000285","12_13",5800.19999992847,0,"session3_transfer_reconstruction","21x21"
"270","8_2","wood","set1","group2","000309","15_14",4146.39999997616,0,"session3_transfer_reconstruction","21x21"
"186","8_-2","wood","set2","group1","000184","16_8",1948.69999992847,0,"session3_transfer_reconstruction","21x21"
"386","-2_8","wood","set1","group2","000386","8_18",12967.2999999523,0,"session3_transfer_reconstruction","21x21"
"256","-6_2","wood","set1","group2","000382","4_18",4702.20000004768,0,"session3_transfer_reconstruction","21x21"
"254","-8_2","wood","set1","group2","000276","3_13",4066,0,"session3_transfer_reconstruction","21x21"
"352","6_6","wood","set1","group2","000286","13_13",3041.20000004768,0,"session3_transfer_reconstruction","21x21"
"92","-2_-6","wood","set2","group1","000113","8_5",7632,0,"session3_transfer_reconstruction","21x21"
"348","2_6","wood","set1","group2","000307","13_14",3782,0,"session3_transfer_reconstruction","21x21"
"88","-6_-6","wood","set2","group1","000068","5_3",7874.29999995232,0,"session3_transfer_reconstruction","21x21"
"342","-4_6","wood","set1","group2","000321","6_15",4256.70000004768,0,"session3_transfer_reconstruction","21x21"
"132","-4_-4","wood","set2","group1","000069","6_3",7552.89999997616,0,"session3_transfer_reconstruction","21x21"
"138","2_-4","wood","set2","group1","000139","13_6",3301.20000004768,0,"session3_transfer_reconstruction","21x21"
"142","6_-4","wood","set2","group1","000182","14_8",2956.80000007153,0,"session3_transfer_reconstruction","21x21"
"130","-6_-4","wood","set2","group1","000067","4_3",2649.20000004768,0,"session3_transfer_reconstruction","21x21"
"180","2_-2","wood","set2","group1","000138","12_6",5976.79999995232,0,"session3_transfer_reconstruction","21x21"
"172","-6_-2","wood","set2","group1","000109","4_5",4864.70000004768,0,"session3_transfer_reconstruction","21x21"
"100","6_-6","wood","set2","group1","000142","16_6",2655.69999992847,0,"session3_transfer_reconstruction","21x21"
"54","2_-8","wood","set2","group1","000056","14_2",3872.19999992847,0,"session3_transfer_reconstruction","21x21"
"228","8_0","wood",NA,"boundary","000266","14_12",2642.70000004768,0,"session3_transfer_reconstruction","21x21"
"182","4_-2","wood","set2","group1","000162","15_7",3086.69999992847,0,"session3_transfer_reconstruction","21x21"
"262","0_2","wood","set1","group2","000283","10_13",7582.79999995232,0,"session3_transfer_reconstruction","21x21"
"48","-4_-8","wood","set2","group1","000048","6_2",4553.10000002384,0,"session3_transfer_reconstruction","21x21"
"144","8_-4","wood","set2","group1","000181","13_8",5939.39999997616,0,"session3_transfer_reconstruction","21x21"
"128","-8_-4","wood","set2","group1","000047","5_2",5041.39999997616,0,"session3_transfer_reconstruction","21x21"
"260","-2_2","wood","set1","group2","000260","8_12",7092.60000002384,0,"session3_transfer_reconstruction","21x21"
"56","4_-8","wood","set2","group1","000035","14_1",7489.70000004768,0,"session3_transfer_reconstruction","21x21"
"212","-8_0","wood",NA,"boundary","000171","3_8",4137.60000002384,0,"session3_transfer_reconstruction","21x21"
"170","-8_-2","wood","set2","group1","000150","3_7",3733.10000002384,0,"session3_transfer_reconstruction","21x21"
"224","4_0","wood",NA,"boundary","000266","14_12",11826.2999999523,0,"session3_transfer_reconstruction","21x21"
