"answer","correct","key_feature","position","response","rt","stim_coord","stim_idx","session","space_size"
"set1","correct","wood","group1","e",782,"3_-7",28,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",606,"-3_7",260,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",644,"-1_5",228,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",540,"-3_5",226,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",620,"1_3",196,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",489,"-1_7",262,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",764,"-1_-3",92,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",561,"1_-7",26,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",546,"-1_-7",24,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",561,"-3_3",192,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",491,"1_5",230,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",608,"-3_-3",90,"session4_transfer_learning","17x17"
"set1","wrong","wood","group1","i",812,"1_-5",60,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",600,"1_7",264,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",969,"3_-5",62,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",796,"-3_-7",22,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",672,"1_-3",94,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",429,"3_-3",96,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",462,"-1_-5",58,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",584,"-1_3",194,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",566,"3_7",266,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",1081,"3_3",198,"session4_transfer_learning","17x17"
"set2","correct","wood","group2","i",507,"3_5",232,"session4_transfer_learning","17x17"
"set1","correct","wood","group1","e",480,"-3_-5",56,"session4_transfer_learning","17x17"
